Question,Answer,Card Type,Source File
What is often the largest single cost of education for most students?,The wages given up by not working (or working less) while attending school.,qa,examples/Microeconomics.pdf
"For most students, the wages given up to attend school are the largest single cost of their {{c1::education}}.",education,cloze,examples/Microeconomics.pdf
What is opportunity cost?,The opportunity cost of an item is what you give up to get that item.,qa,examples/Microeconomics.pdf
The {{c1::opportunity cost}} of an item is what you give up to get that item.,opportunity cost,cloze,examples/Microeconomics.pdf
Why do college-age athletes who can earn millions in professional sports often decide not to attend college?,"Because their opportunity cost of college (the forgone millions) is very high, making the benefits of college not worth the cost for them.",qa,examples/Microeconomics.pdf
What is the third principle of individual decision-making in economics?,Rational People Think at the Margin.,qa,examples/Microeconomics.pdf
Decisions in life are rarely black and white but usually involve {{c1::shades of gray}}.,shades of gray,cloze,examples/Microeconomics.pdf
What term do economists use to describe small incremental adjustments to an existing plan of action?,Marginal changes.,qa,examples/Microeconomics.pdf
Economists use the term {{c1::marginal changes}} to describe small incremental adjustments to an existing plan of action.,marginal changes,cloze,examples/Microeconomics.pdf
"What does the word ""margin"" mean in the context of marginal changes?","""Edge,"" so marginal changes are adjustments around the edges of what you are doing.",qa,examples/Microeconomics.pdf
"To make the best decisions, people often think by comparing {{c1::marginal benefits}} and {{c1::marginal costs}}.",marginal benefits; marginal costs,cloze,examples/Microeconomics.pdf
"In the airline example, if a 200-seat plane costs $100,000 to fly, what is the average cost per seat?","$500 ($100,000 / 200 seats).",qa,examples/Microeconomics.pdf
"Why might an airline sell a standby ticket for less than the average cost of a seat (e.g., less than $500)?","Because the plane has empty seats, the marginal cost of taking on an additional passenger is very small (e.g., the cost of a bag of peanuts). If the standby passenger pays more than this marginal cost, the airline's profit increases.",qa,examples/Microeconomics.pdf
Economics is about the allocation of {{c1::scarce resources}}.,scarce resources,cloze,examples/Microeconomics.pdf
People face {{c1::tradeoffs}} when making decisions.,tradeoffs,cloze,examples/Microeconomics.pdf
The meaning of {{c1::opportunity cost}} is what you give up to get an item.,opportunity cost,cloze,examples/Microeconomics.pdf
"When making decisions, people use {{c1::marginal reasoning}}.",marginal reasoning,cloze,examples/Microeconomics.pdf
{{c1::Incentives}} affect people's behavior.,Incentives,cloze,examples/Microeconomics.pdf
Trade among people or nations can be {{c1::good for everyone}}.,good for everyone,cloze,examples/Microeconomics.pdf
"Markets are a {{c1::good, but not perfect}} way to allocate resources.","good, but not perfect",cloze,examples/Microeconomics.pdf
Economists learn what determines some trends in the {{c1::overall economy}}.,overall economy,cloze,examples/Microeconomics.pdf
What does 'thinking at the margin' mean in economics?,It means making decisions by comparing the marginal benefits and marginal costs of an action.,qa,examples/Microeconomics.pdf
A rational decision-maker takes an action if and only if the {{c1::marginal benefit}} of the action exceeds the {{c2::marginal cost}}.,marginal benefit; marginal cost,cloze,examples/Microeconomics.pdf
"In the airline example, what is the marginal cost of adding one more passenger if there are empty seats?",The cost of the bag of peanuts and can of soda that the extra passenger will consume.,qa,examples/Microeconomics.pdf
"Why is it profitable for an airline to sell an empty seat for $300, even if the average cost per passenger is $500?","Because the marginal cost of adding that passenger (e.g., peanuts and soda) is minuscule, and $300 exceeds this marginal cost.",qa,examples/Microeconomics.pdf
What is the economic term for the additional cost incurred by producing one more unit or taking one more action?,Marginal cost.,qa,examples/Microeconomics.pdf
What is the economic term for the additional benefit gained from producing one more unit or taking one more action?,Marginal benefit.,qa,examples/Microeconomics.pdf
What is Principle #4 of Economics?,People Respond to Incentives.,qa,examples/Microeconomics.pdf
"Principle #4 states that people respond to {{c1::incentives}}, meaning their behavior may change when {{c2::costs or benefits}} change.",incentives; costs or benefits,cloze,examples/Microeconomics.pdf
How do apple orchards respond to a rise in the price of apples?,They hire more workers and harvest more apples because the benefit of selling an apple is higher.,qa,examples/Microeconomics.pdf
How can a tax on gasoline influence people's behavior?,"It encourages people to drive smaller, more fuel-efficient cars, take public transportation, or live closer to work.",qa,examples/Microeconomics.pdf
What is a potential pitfall for policymakers when designing policies related to incentives?,They can end up with unintended results if they fail to consider how their policies affect incentives.,qa,examples/Microeconomics.pdf
What was the direct effect of seat belt laws on auto safety?,"More people wear seat belts, increasing the probability of surviving a major auto accident.",qa,examples/Microeconomics.pdf
"How did seat belt laws alter the cost-benefit calculation for rational drivers, according to economic analysis?","Seat belts made accidents less costly for drivers, reducing the benefit of slow and careful driving.",qa,examples/Microeconomics.pdf
"According to economic analysis, seat belt laws led to drivers operating their cars {{c1::faster and less carefully}}, resulting in a {{c2::larger number of accidents}}.",faster and less carefully; larger number of accidents,cloze,examples/Microeconomics.pdf
What was the ambiguous net effect of seat belt laws on the number of driver deaths?,"Drivers were more likely to survive any given accident (due to seat belts), but also more likely to be in an accident (due to less careful driving), making the net effect unclear.",qa,examples/Microeconomics.pdf
How did seat belt laws affect pedestrians?,They increased the number of pedestrian deaths because pedestrians were more likely to be in an accident but were not protected by seat belts.,qa,examples/Microeconomics.pdf
Economist {{c1::Sam Peltzman}} showed in a 1975 study that auto-safety laws produced {{c2::fewer deaths per accident}} and {{c3::more accidents}}.,Sam Peltzman; fewer deaths per accident; more accidents,cloze,examples/Microeconomics.pdf
"What was the net result of auto-safety laws on driver and pedestrian deaths, according to Peltzman's study?",Little change in the number of driver deaths and an increase in the number of pedestrian deaths.,qa,examples/Microeconomics.pdf
What general principle does Peltzman's analysis of auto safety illustrate?,"That people respond to incentives, and policies can have indirect effects that are not obvious in advance.",qa,examples/Microeconomics.pdf
What did Kobe Bryant's decision to skip college for the NBA demonstrate an understanding of?,Opportunity cost and incentives.,qa,examples/Microeconomics.pdf
Why is the effect of price on the behavior of buyers and sellers crucial for understanding how the economy works?,"Because price changes alter the costs and benefits that people face, causing them to respond to incentives.",qa,examples/Microeconomics.pdf
Why is driving slowly and carefully considered costly for a driver?,Because it uses the driver's time and energy.,qa,examples/Microeconomics.pdf
How do rational people decide how safely to drive?,They compare the marginal benefit from safer driving to the marginal cost.,qa,examples/Microeconomics.pdf
"People drive more slowly and carefully when roads are {{c1::icy}} than when roads are {{c2::clear}}, demonstrating how they respond to changes in the benefits of safer driving.",icy; clear,cloze,examples/Microeconomics.pdf
The first four principles of economics focus on how {{c1::individuals make decisions}}.,individuals make decisions,cloze,examples/Microeconomics.pdf
The next three principles of economics concern how {{c1::people interact with one another}}.,people interact with one another,cloze,examples/Microeconomics.pdf
What is Principle #5 of Economics?,Trade Can Make Everyone Better Off.,qa,examples/Microeconomics.pdf
Why is trade between countries not like a sports contest where one side wins and the other loses?,Because trade can make both countries better off.,qa,examples/Microeconomics.pdf
How does trade benefit families?,It allows each person to specialize in activities they do best and to buy a greater variety of goods and services at lower cost.,qa,examples/Microeconomics.pdf
Trade allows countries to {{c1::specialize}} in what they do best and to enjoy a {{c2::greater variety of goods and services}}.,specialize; greater variety of goods and services,cloze,examples/Microeconomics.pdf
"In the world economy, are other countries primarily competitors or partners?","They are partners, as trade makes everyone better off.",qa,examples/Microeconomics.pdf
How does competition among families manifest in the economy?,Families compete for jobs and when shopping for goods at the lowest prices.,qa,examples/Microeconomics.pdf
Why would a family not be better off isolating itself from all other families?,"Because it would have to produce all its own food, clothes, and shelter, losing the benefits of specialization and trade.",qa,examples/Microeconomics.pdf
What is Principle #6 of Economics?,Markets Are Usually a Good Way to Organize Economic Activity.,qa,examples/Microeconomics.pdf
What was the premise of communist countries regarding economic activity?,That central planners in the government were in the best position to guide economic activity and promote overall economic well-being.,qa,examples/Microeconomics.pdf
"In a {{c1::market economy}}, the decisions of a central planner are replaced by the decentralized decisions of millions of {{c2::firms and households}}.",market economy; firms and households,cloze,examples/Microeconomics.pdf
"In a market economy, what guides the decisions of firms and households as they interact in the marketplace?",Prices and self-interest.,qa,examples/Microeconomics.pdf
What is the 'invisible hand' in economics?,"A concept introduced by Adam Smith, describing how households and firms interacting in markets act as if guided by an invisible hand that leads them to desirable market outcomes, promoting general economic well-being.",qa,examples/Microeconomics.pdf
"Adam Smith introduced the concept of the 'invisible hand' in his 1776 book, {{c1::An Inquiry into the Nature and Causes of the Wealth of Nations}}.",An Inquiry into the Nature and Causes of the Wealth of Nations,cloze,examples/Microeconomics.pdf
"According to Adam Smith, what motivates participants in a market economy?",Self-interest.,qa,examples/Microeconomics.pdf
What is the instrument with which the invisible hand directs economic activity?,Prices.,qa,examples/Microeconomics.pdf
How do prices guide individual decision-makers in a market economy?,"Prices reflect both the value of a good to society and the cost to society of making the good, leading decision-makers to outcomes that maximize society's welfare.",qa,examples/Microeconomics.pdf
What happens when the government prevents prices from adjusting naturally to supply and demand?,"It impedes the invisible hand's ability to coordinate economic activity, adversely affecting the allocation of resources.",qa,examples/Microeconomics.pdf
Why do taxes adversely affect the allocation of resources?,"Because taxes distort prices, which in turn distorts the decisions of households and firms.",qa,examples/Microeconomics.pdf
What is an example of a policy that directly controls prices and causes even greater harm than taxes?,Rent control.,qa,examples/Microeconomics.pdf
"What is a key reason for the failure of communism, according to economic principles?",Central planners dictated prices and lacked the information that is reflected in prices when they are free to respond to market forces.,qa,examples/Microeconomics.pdf
"Adam Smith argued that individuals are usually best left to their own devices, without the heavy hand of government guiding their actions, a philosophy that provides the intellectual basis for the {{c1::market economy}} and for {{c2::free society}} more generally.",market economy; free society,cloze,examples/Microeconomics.pdf
"According to Adam Smith, why do people provide goods and services to others in a market economy?","Not from benevolence, but from their regard to their own self-interest ('self-love').",qa,examples/Microeconomics.pdf
What decisions did central planners make in communist countries?,"What goods and services were produced, how much was produced, and who produced and consumed them.",qa,examples/Microeconomics.pdf
What makes the success of market economies initially puzzling?,"In a market economy, no one is looking out for the economic well-being of society as a whole, and participants are primarily interested in their own well-being.",qa,examples/Microeconomics.pdf
The collapse of {{c1::communism}} in the Soviet Union and Eastern Europe was a major shift towards market economies.,communism,cloze,examples/Microeconomics.pdf
Central planners failed because they tried to run the economy with one hand tied behind their backs—the {{c1::invisible hand}} of the marketplace.,invisible hand,cloze,examples/Microeconomics.pdf
What is Principle #7 of Economics?,Governments Can Sometimes Improve Market Outcomes,qa,examples/Microeconomics.pdf
What are the two broad reasons for a government to intervene in the economy?,To promote efficiency and to promote equity.,qa,examples/Microeconomics.pdf
Most government policies aim either to enlarge the economic pie or to change how the pie is {{c1::divided}}.,divided,cloze,examples/Microeconomics.pdf
What does the invisible hand usually lead markets to do regarding resource allocation?,Allocate resources efficiently.,qa,examples/Microeconomics.pdf
Economists use the term {{c1::market failure}} to refer to a situation in which the market on its own fails to allocate resources efficiently.,market failure,cloze,examples/Microeconomics.pdf
Define market failure.,A situation in which a market left on its own fails to allocate resources efficiently.,qa,examples/Microeconomics.pdf
List two possible causes of market failure.,Externality and market power.,qa,examples/Microeconomics.pdf
An {{c1::externality}} is the impact of one person’s actions on the well-being of a bystander.,externality,cloze,examples/Microeconomics.pdf
Define externality.,The impact of one person’s actions on the well-being of a bystander.,qa,examples/Microeconomics.pdf
Give a classic example of an external cost.,"Pollution (e.g., smoke emitted by a chemical factory).",qa,examples/Microeconomics.pdf
"If a chemical factory does not bear the entire cost of the smoke it emits, it will likely emit {{c1::too much}}.",too much,cloze,examples/Microeconomics.pdf
Give a classic example of an external benefit.,"The creation of knowledge (e.g., a scientist's important discovery).",qa,examples/Microeconomics.pdf
"The government can raise economic well-being by subsidizing basic research, which is an example of addressing an {{c1::external benefit}}.",external benefit,cloze,examples/Microeconomics.pdf
{{c1::Market power}} refers to the ability of a single economic actor (or small group of actors) to have a substantial influence on market prices.,Market power,cloze,examples/Microeconomics.pdf
Define market power.,The ability of a single economic actor (or small group of actors) to have a substantial influence on market prices.,qa,examples/Microeconomics.pdf
What type of market power does the owner of the only well in a town have?,A monopoly.,qa,examples/Microeconomics.pdf
Why does the invisible hand sometimes fail to ensure an equitable distribution of economic prosperity?,"A market economy rewards people according to their ability to produce things that other people are willing to pay for, not necessarily ensuring everyone has sufficient necessities.",qa,examples/Microeconomics.pdf
"A goal of many public policies, such as the income tax and the welfare system, is to achieve a more {{c1::equitable distribution}} of economic well-being.",equitable distribution,cloze,examples/Microeconomics.pdf
"Why don't governments always improve market outcomes, even when intervention is justifiable?","Public policy is made by a political process that is far from perfect, sometimes rewarding the politically powerful or made by well-intentioned but uninformed leaders.",qa,examples/Microeconomics.pdf
What are the three principles concerning economic interactions?,"Principle #5: Trade Can Make Everyone Better Off, Principle #6: Markets Are Usually a Good Way to Organize Economic Activity, Principle #7: Governments Can Sometimes Improve Market Outcomes.",qa,examples/Microeconomics.pdf
What is Principle #8 of Economics?,A Country’s Standard of Living Depends on Its Ability to Produce Goods and Services,qa,examples/Microeconomics.pdf
What is the primary factor explaining large differences in living standards among countries and over time?,Differences in countries’ productivity.,qa,examples/Microeconomics.pdf
{{c1::Productivity}} is the amount of goods and services produced from each hour of a worker’s time.,Productivity,cloze,examples/Microeconomics.pdf
Define productivity.,The amount of goods and services produced from each hour of a worker’s time.,qa,examples/Microeconomics.pdf
How does a nation's productivity relate to its standard of living?,"In nations where workers can produce a large quantity of goods and services per unit of time, most people enjoy a high standard of living.",qa,examples/Microeconomics.pdf
The growth rate of a nation’s {{c1::productivity}} determines the growth rate of its average income.,productivity,cloze,examples/Microeconomics.pdf
"Historically, what has been the approximate annual growth rate of income in the United States (after adjusting for cost of living)?",About 2 percent per year.,qa,examples/Microeconomics.pdf
"According to the text, what is the 'real hero' of American workers' rising living standards over the past century?",Their rising productivity.,qa,examples/Microeconomics.pdf
"To boost living standards, policymakers need to raise productivity by ensuring that workers are {{c1::well educated}}, have the {{c2::tools needed to produce goods and services}}, and have access to the {{c3::best available technology}}.",well educated::tools needed to produce goods and services::best available technology,cloze,examples/Microeconomics.pdf
Government budget deficits are generally thought to depress growth in living standards because they reduce investment in {{c1::human capital}} and {{c2::physical capital}}.,human capital::physical capital,cloze,examples/Microeconomics.pdf
What is Principle #9 of Economics?,Prices Rise When the Government Prints Too Much Money,qa,examples/Microeconomics.pdf
Inflation is an increase in the {{c1::overall level of prices}} in the economy.,overall level of prices,cloze,examples/Microeconomics.pdf
Define inflation.,An increase in the overall level of prices in the economy.,qa,examples/Microeconomics.pdf
What historical example is given for spectacular inflation?,Germany in the early 1920s.,qa,examples/Microeconomics.pdf
What was the economic problem President Gerald Ford called 'public enemy number one' in the 1970s?,Inflation.,qa,examples/Microeconomics.pdf
What was the approximate inflation rate in the US during the 1990s?,About 3 percent per year.,qa,examples/Microeconomics.pdf
What is the primary cause of large or persistent inflation?,Growth in the quantity of money.,qa,examples/Microeconomics.pdf
"When a government creates large quantities of the nation’s money, the {{c1::value of the money falls}}.",value of the money falls,cloze,examples/Microeconomics.pdf
What is Principle #10 of Economics?,Society Faces a Short-Run Tradeoff Between Inflation and Unemployment,qa,examples/Microeconomics.pdf
The curve that illustrates the short-run tradeoff between inflation and unemployment is called the {{c1::Phillips curve}}.,Phillips curve,cloze,examples/Microeconomics.pdf
Define Phillips curve.,A curve that shows the short-run tradeoff between inflation and unemployment.,qa,examples/Microeconomics.pdf
Is the Phillips curve a controversial topic among economists?,"Yes, but most economists today accept the idea that there is a short-run tradeoff between inflation and unemployment.",qa,examples/Microeconomics.pdf
What is the common explanation for why society faces a short-run tradeoff between inflation and unemployment?,It arises because some prices are slow to adjust (sticky prices).,qa,examples/Microeconomics.pdf
"In the long run, what is the only result of a government policy that reduces the quantity of money in the economy?",A fall in the overall level of prices.,qa,examples/Microeconomics.pdf
"Because prices are {{c1::sticky}} in the short run, various types of government policy have short-run effects that differ from their long-run effects.",sticky,cloze,examples/Microeconomics.pdf
How do sticky prices explain the short-run tradeoff when the government reduces the quantity of money?,"Lower spending, combined with prices stuck too high, reduces sales, causing firms to lay off workers and temporarily raising unemployment.",qa,examples/Microeconomics.pdf
"The tradeoff between inflation and unemployment is only temporary, but it can last for {{c1::several years}}.",several years,cloze,examples/Microeconomics.pdf
What policy instruments can policymakers use to influence the short-run combination of inflation and unemployment?,"By changing the amount the government spends, the amount it taxes, and the amount of money it prints.",qa,examples/Microeconomics.pdf
What are the three principles that describe how the economy as a whole works?,"Principle #8: A Country’s Standard of Living Depends on Its Ability to Produce Goods and Services, Principle #9: Prices Rise When the Government Prints Too Much Money, Principle #10: Society Faces a Short-Run Tradeoff between Inflation and Unemployment.",qa,examples/Microeconomics.pdf
"The Ten Principles of Economics are categorized into three groups: How People Make Decisions, How People Interact, and How the {{c1::Economy as a Whole Works}}.",Economy as a Whole Works,cloze,examples/Microeconomics.pdf
What is one fundamental lesson about individual decision-making regarding goals?,People face tradeoffs among alternative goals.,qa,examples/Microeconomics.pdf
The fundamental lesson about individual decision-making states that people face {{c1::tradeoffs}} among alternative goals.,tradeoffs,cloze,examples/Microeconomics.pdf
How is the cost of any action measured according to a fundamental lesson about individual decision-making?,In terms of forgone opportunities (opportunity cost).,qa,examples/Microeconomics.pdf
The cost of any action is measured in terms of {{c1::forgone opportunities}}.,forgone opportunities,cloze,examples/Microeconomics.pdf
How do rational people make decisions?,By comparing marginal costs and marginal benefits.,qa,examples/Microeconomics.pdf
Rational people make decisions by comparing {{c1::marginal costs}} and {{c2::marginal benefits}}.,marginal costs; marginal benefits,cloze,examples/Microeconomics.pdf
What is a fundamental lesson about individual decision-making regarding behavior?,People change their behavior in response to the incentives they face.,qa,examples/Microeconomics.pdf
People change their behavior in response to the {{c1::incentives}} they face.,incentives,cloze,examples/Microeconomics.pdf
What is a fundamental lesson about interactions among people regarding trade?,Trade can be mutually beneficial.,qa,examples/Microeconomics.pdf
Trade among people can be {{c1::mutually beneficial}}.,mutually beneficial,cloze,examples/Microeconomics.pdf
What is usually a good way of coordinating trade decision-making among people?,Individual markets.,qa,examples/Microeconomics.pdf
{{c1::Individual markets}} are usually a good way of coordinating trade decision-making among people.,Individual markets,cloze,examples/Microeconomics.pdf
Under what conditions can the government potentially improve market outcomes?,If there is some market failure or if the market outcome is inequitable.,qa,examples/Microeconomics.pdf
The government can potentially improve market outcomes if there is some {{c1::market failure}} or if the market outcome is {{c2::inequitable}}.,market failure; inequitable,cloze,examples/Microeconomics.pdf
What is the ultimate source of living standards for the economy as a whole?,Productivity.,qa,examples/Microeconomics.pdf
{{c1::Productivity}} is the ultimate source of living standards.,Productivity,cloze,examples/Microeconomics.pdf
What is the ultimate source of inflation for the economy as a whole?,Money growth.,qa,examples/Microeconomics.pdf
{{c1::Money growth}} is the ultimate source of inflation.,Money growth,cloze,examples/Microeconomics.pdf
What short-run tradeoff does society face regarding the economy as a whole?,Between inflation and unemployment.,qa,examples/Microeconomics.pdf
Society faces a short-run tradeoff between {{c1::inflation}} and {{c2::unemployment}}.,inflation; unemployment,cloze,examples/Microeconomics.pdf
Define scarcity.,The limited nature of society's resources.,qa,examples/Microeconomics.pdf
{{c1::Scarcity}} refers to the limited nature of society's resources.,Scarcity,cloze,examples/Microeconomics.pdf
Define economics.,The study of how society manages its scarce resources.,qa,examples/Microeconomics.pdf
{{c1::Economics}} is the study of how society manages its scarce resources.,Economics,cloze,examples/Microeconomics.pdf
Define efficiency.,The property of society getting the most it can from its scarce resources.,qa,examples/Microeconomics.pdf
{{c1::Efficiency}} is the property of society getting the most it can from its scarce resources.,Efficiency,cloze,examples/Microeconomics.pdf
Define equity.,The property of distributing economic prosperity fairly among the members of society.,qa,examples/Microeconomics.pdf
{{c1::Equity}} is the property of distributing economic prosperity fairly among the members of society.,Equity,cloze,examples/Microeconomics.pdf
Define opportunity cost.,Whatever must be given up to obtain some item.,qa,examples/Microeconomics.pdf
The {{c1::opportunity cost}} of an item is whatever must be given up to obtain it.,opportunity cost,cloze,examples/Microeconomics.pdf
Define marginal changes.,Small incremental adjustments to a plan of action.,qa,examples/Microeconomics.pdf
{{c1::Marginal changes}} are small incremental adjustments to a plan of action.,Marginal changes,cloze,examples/Microeconomics.pdf
Define market economy.,An economy that allocates resources through the decentralized decisions of many firms and households as they interact in markets for goods and services.,qa,examples/Microeconomics.pdf
A {{c1::market economy}} allocates resources through the decentralized decisions of many firms and households.,market economy,cloze,examples/Microeconomics.pdf
Define market failure.,A situation in which a market left on its own fails to allocate resources efficiently.,qa,examples/Microeconomics.pdf
{{c1::Market failure}} occurs when a market left on its own fails to allocate resources efficiently.,Market failure,cloze,examples/Microeconomics.pdf
Define externality.,The impact of one person’s actions on the well-being of a bystander.,qa,examples/Microeconomics.pdf
An {{c1::externality}} is the impact of one person’s actions on the well-being of a bystander.,externality,cloze,examples/Microeconomics.pdf
Define market power.,The ability of a single economic actor (or small group of actors) to have a substantial influence on market prices.,qa,examples/Microeconomics.pdf
{{c1::Market power}} is the ability of a single economic actor to have a substantial influence on market prices.,Market power,cloze,examples/Microeconomics.pdf
Define productivity.,The quantity of goods and services produced from each unit of labor input.,qa,examples/Microeconomics.pdf
{{c1::Productivity}} is the quantity of goods and services produced from each unit of labor input.,Productivity,cloze,examples/Microeconomics.pdf
Define inflation.,An increase in the overall level of prices in the economy.,qa,examples/Microeconomics.pdf
{{c1::Inflation}} is an increase in the overall level of prices in the economy.,Inflation,cloze,examples/Microeconomics.pdf
Define Phillips curve.,A curve that shows the short-run tradeoff between inflation and unemployment.,qa,examples/Microeconomics.pdf
The {{c1::Phillips curve}} shows the short-run tradeoff between inflation and unemployment.,Phillips curve,cloze,examples/Microeconomics.pdf
What is the primary goal of economists when studying their subject?,To address their subject with a scientist's objectivity.,qa,examples/Microeconomics.pdf
Economists try to address their subject with a scientist’s {{c1::objectivity}}.,objectivity,cloze,examples/Microeconomics.pdf
"How do economists approach the study of the economy, similar to physicists or biologists?","They devise theories, collect data, and then analyze these data in an attempt to verify or refute their theories.",qa,examples/Microeconomics.pdf
"Economists devise {{c1::theories}}, collect {{c2::data}}, and then analyze these data to verify or refute their theories.",theories; data,cloze,examples/Microeconomics.pdf
"What is the essence of science, according to the text?",The scientific method—the dispassionate development and testing of theories about how the world works.,qa,examples/Microeconomics.pdf
The essence of science is the {{c1::scientific method}}.,scientific method,cloze,examples/Microeconomics.pdf
What are the three main components of the scientific method as applied in economics?,"Observation, theory, and more observation.",qa,examples/Microeconomics.pdf
"The scientific method involves {{c1::observation}}, {{c2::theory}}, and more observation.",observation; theory,cloze,examples/Microeconomics.pdf
What is a significant obstacle economists face compared to physicists when conducting experiments?,"Experiments are often difficult in economics, as economists cannot easily manipulate national policies to generate data.",qa,examples/Microeconomics.pdf
Experiments are often {{c1::difficult}} in economics.,difficult,cloze,examples/Microeconomics.pdf
What do economists use as a substitute for laboratory experiments?,Natural experiments offered by history.,qa,examples/Microeconomics.pdf
Economists pay close attention to the {{c1::natural experiments}} offered by history.,natural experiments,cloze,examples/Microeconomics.pdf
What did Isaac Newton's observation of a falling apple lead to?,The development of a theory of gravity.,qa,examples/Microeconomics.pdf
Isaac Newton's observation of a falling apple motivated him to develop a theory of {{c1::gravity}}.,gravity,cloze,examples/Microeconomics.pdf
What might an economist observe that leads to a theory of inflation?,Rapid increases in prices in a country.,qa,examples/Microeconomics.pdf
An economist might develop a theory of inflation after observing {{c1::rapid increases in prices}}.,rapid increases in prices,cloze,examples/Microeconomics.pdf
What theory might an economist develop to explain high inflation?,That high inflation arises when the government prints too much money.,qa,examples/Microeconomics.pdf
A theory of inflation might assert that high inflation arises when the government prints too much {{c1::money}}.,money,cloze,examples/Microeconomics.pdf
How would an economist test the theory that high inflation is caused by too much money printing?,By collecting and analyzing data on prices and money from many different countries.,qa,examples/Microeconomics.pdf
"If money growth and inflation are strongly correlated in international data, an economist would become more {{c1::confident}} in their theory.",confident,cloze,examples/Microeconomics.pdf
What is an example of a natural experiment that economists might study?,"When a war in the Middle East interrupts the flow of crude oil, causing oil prices to skyrocket.",qa,examples/Microeconomics.pdf
A war in the Middle East interrupting the flow of crude oil is an example of a {{c1::natural experiment}} for economists.,natural experiment,cloze,examples/Microeconomics.pdf
Why do economists make assumptions?,To make the world easier to understand by simplifying complex problems without substantially affecting the answer.,qa,examples/Microeconomics.pdf
